State,Year,Type_code,Type,Gender,Age_group,Total
Madhya Pradesh,2001,Causes,Paralysis,Male,0-14,1
Madhya Pradesh,2001,Causes,Failure in Examination,Male,0-14,15
Madhya Pradesh,2001,Causes,Other Prolonged Illness,Male,0-14,3
Madhya Pradesh,2001,Causes,Suspected/Illicit Relation,Male,0-14,6
Madhya Pradesh,2001,Causes,Illegitimate Pregnancy,Male,0-14,0
Madhya Pradesh,2001,Causes,Cancellation/Non-Settlement of Marriage,Male,0-14,0
Madhya Pradesh,2001,Causes,Love Affairs,Male,0-14,0
Madhya Pradesh,2001,Causes,Other Causes (Please Specity),Male,0-14,5
Madhya Pradesh,2001,Causes,Family Problems,Male,0-14,4
Madhya Pradesh,2001,Causes,Physical Abuse (Rape/Incest Etc.),Male,0-14,1
Madhya Pradesh,2001,Causes,Poverty,Male,0-14,0
Madhya Pradesh,2001,Causes,Ideological Causes/Hero Worshipping,Male,0-14,0
Madhya Pradesh,2001,Causes,Illness (Aids/STD),Male,0-14,0
Madhya Pradesh,2001,Causes,Property Dispute,Male,0-14,2
Madhya Pradesh,2001,Causes,Causes Not known,Male,0-14,82
Madhya Pradesh,2001,Causes,Unemployment,Male,0-14,0
Madhya Pradesh,2001,Causes,Death of Dear Person,Male,0-14,1
Madhya Pradesh,2001,Causes,Fall in Social Reputation,Male,0-14,3
Madhya Pradesh,2001,Causes,Professional/Career Problem,Male,0-14,1
Madhya Pradesh,2001,Causes,Divorce,Male,0-14,0
Madhya Pradesh,2001,Causes,Drug Abuse/Addiction,Male,0-14,0
Madhya Pradesh,2001,Causes,Not having Children(Barrenness/Impotency,Male,0-14,0
Madhya Pradesh,2001,Causes,Drug Abuse/Addiction,Female,15-29,1
Madhya Pradesh,2001,Causes,Family Problems,Female,15-29,393
Madhya Pradesh,2001,Causes,Other Causes (Please Specity),Female,15-29,77
Madhya Pradesh,2001,Causes,Insanity/Mental Illness,Female,15-29,36
Madhya Pradesh,2001,Causes,Not having Children(Barrenness/Impotency,Female,15-29,21
Madhya Pradesh,2001,Causes,Ideological Causes/Hero Worshipping,Female,15-29,2
Madhya Pradesh,2001,Causes,Failure in Examination,Female,15-29,48
Madhya Pradesh,2001,Causes,Suspected/Illicit Relation,Female,15-29,66
Madhya Pradesh,2001,Causes,Fall in Social Reputation,Female,15-29,12
Madhya Pradesh,2001,Causes,Death of Dear Person,Female,15-29,27
Madhya Pradesh,2001,Causes,Other Prolonged Illness,Female,15-29,128
Madhya Pradesh,2001,Causes,Illegitimate Pregnancy,Female,15-29,36
Madhya Pradesh,2001,Causes,Property Dispute,Female,15-29,18
Madhya Pradesh,2001,Causes,Divorce,Female,15-29,1
Madhya Pradesh,2001,Causes,Love Affairs,Female,15-29,46
Madhya Pradesh,2001,Causes,Cancellation/Non-Settlement of Marriage,Female,15-29,25
Madhya Pradesh,2001,Causes,Paralysis,Female,15-29,0
Madhya Pradesh,2001,Causes,Professional/Career Problem,Female,15-29,15
Madhya Pradesh,2001,Causes,Unemployment,Female,15-29,33
Madhya Pradesh,2001,Causes,Illness (Aids/STD),Female,15-29,4
Madhya Pradesh,2001,Causes,Causes Not known,Female,15-29,482
Madhya Pradesh,2001,Causes,Poverty,Female,15-29,3
Madhya Pradesh,2001,Causes,Cancer,Female,15-29,0
Madhya Pradesh,2001,Causes,Bankruptcy or Sudden change in Economic,Female,15-29,13
Madhya Pradesh,2001,Causes,Dowry Dispute,Female,15-29,378
Madhya Pradesh,2001,Causes,Physical Abuse (Rape/Incest Etc.),Female,15-29,53
Madhya Pradesh,2001,Causes,Cancer,Male,15-29,1
Madhya Pradesh,2001,Causes,Other Prolonged Illness,Male,15-29,119
Madhya Pradesh,2001,Causes,Fall in Social Reputation,Male,15-29,15
Madhya Pradesh,2001,Causes,Cancellation/Non-Settlement of Marriage,Male,15-29,10
Madhya Pradesh,2001,Causes,Causes Not known,Male,15-29,483
Madhya Pradesh,2001,Causes,Physical Abuse (Rape/Incest Etc.),Male,15-29,10
Madhya Pradesh,2001,Causes,Failure in Examination,Male,15-29,43
Madhya Pradesh,2001,Causes,Love Affairs,Male,15-29,45
Madhya Pradesh,2001,Causes,Not having Children(Barrenness/Impotency,Male,15-29,1
Madhya Pradesh,2001,Causes,Dowry Dispute,Male,15-29,0
Madhya Pradesh,2001,Causes,Ideological Causes/Hero Worshipping,Male,15-29,0
Madhya Pradesh,2001,Causes,Other Causes (Please Specity),Male,15-29,73
Madhya Pradesh,2001,Causes,Divorce,Male,15-29,0
Madhya Pradesh,2001,Causes,Unemployment,Male,15-29,30
Madhya Pradesh,2001,Causes,Family Problems,Male,15-29,379
Madhya Pradesh,2001,Causes,Professional/Career Problem,Male,15-29,22
Madhya Pradesh,2001,Causes,Property Dispute,Male,15-29,29
Madhya Pradesh,2001,Causes,Suspected/Illicit Relation,Male,15-29,27
Madhya Pradesh,2001,Causes,Bankruptcy or Sudden change in Economic,Male,15-29,17
Madhya Pradesh,2001,Causes,Death of Dear Person,Male,15-29,5
Madhya Pradesh,2001,Causes,Illness (Aids/STD),Male,15-29,0
Madhya Pradesh,2001,Causes,Drug Abuse/Addiction,Male,15-29,35
Madhya Pradesh,2001,Causes,Poverty,Male,15-29,6
Madhya Pradesh,2001,Causes,Paralysis,Male,15-29,0
Madhya Pradesh,2001,Causes,Insanity/Mental Illness,Male,15-29,63
Madhya Pradesh,2001,Causes,Illegitimate Pregnancy,Male,15-29,4
Madhya Pradesh,2001,Causes,Failure in Examination,Female,30-44,5
Madhya Pradesh,2001,Causes,Not having Children(Barrenness/Impotency,Female,30-44,17
Madhya Pradesh,2001,Causes,Death of Dear Person,Female,30-44,12
Madhya Pradesh,2001,Causes,Bankruptcy or Sudden change in Economic,Female,30-44,10
Madhya Pradesh,2001,Causes,Causes Not known,Female,30-44,217
Madhya Pradesh,2001,Causes,Poverty,Female,30-44,0
Madhya Pradesh,2001,Causes,Illegitimate Pregnancy,Female,30-44,7
Madhya Pradesh,2001,Causes,Other Prolonged Illness,Female,30-44,89
Madhya Pradesh,2001,Causes,Ideological Causes/Hero Worshipping,Female,30-44,0
Madhya Pradesh,2001,Causes,Love Affairs,Female,30-44,6
Madhya Pradesh,2001,Causes,Dowry Dispute,Female,30-44,89
Madhya Pradesh,2001,Causes,Professional/Career Problem,Female,30-44,1
Madhya Pradesh,2001,Causes,Insanity/Mental Illness,Female,30-44,30
Madhya Pradesh,2001,Causes,Drug Abuse/Addiction,Female,30-44,1
Madhya Pradesh,2001,Causes,Fall in Social Reputation,Female,30-44,12
Madhya Pradesh,2001,Causes,Paralysis,Female,30-44,0
Madhya Pradesh,2001,Causes,Cancer,Female,30-44,0
Madhya Pradesh,2001,Causes,Property Dispute,Female,30-44,23
Madhya Pradesh,2001,Causes,Family Problems,Female,30-44,187
Madhya Pradesh,2001,Causes,Physical Abuse (Rape/Incest Etc.),Female,30-44,17
Madhya Pradesh,2001,Causes,Unemployment,Female,30-44,0
Madhya Pradesh,2001,Causes,Other Causes (Please Specity),Female,30-44,66
Madhya Pradesh,2001,Causes,Divorce,Female,30-44,1
Madhya Pradesh,2001,Causes,Suspected/Illicit Relation,Female,30-44,21
Madhya Pradesh,2001,Causes,Illness (Aids/STD),Female,30-44,1
Madhya Pradesh,2001,Causes,Cancellation/Non-Settlement of Marriage,Female,30-44,0
Madhya Pradesh,2001,Causes,Paralysis,Male,30-44,0
Madhya Pradesh,2001,Causes,Professional/Career Problem,Male,30-44,18
Madhya Pradesh,2001,Causes,Divorce,Male,30-44,1
Madhya Pradesh,2001,Causes,Cancellation/Non-Settlement of Marriage,Male,30-44,1
Madhya Pradesh,2001,Causes,Poverty,Male,30-44,8
Madhya Pradesh,2001,Causes,Fall in Social Reputation,Male,30-44,21
Madhya Pradesh,2001,Causes,Suspected/Illicit Relation,Male,30-44,10
Madhya Pradesh,2001,Causes,Drug Abuse/Addiction,Male,30-44,45
Madhya Pradesh,2001,Causes,Failure in Examination,Male,30-44,1
Madhya Pradesh,2001,Causes,Causes Not known,Male,30-44,412
Madhya Pradesh,2001,Causes,Love Affairs,Male,30-44,21
Madhya Pradesh,2001,Causes,Illness (Aids/STD),Male,30-44,1
Madhya Pradesh,2001,Causes,Illegitimate Pregnancy,Male,30-44,2
Madhya Pradesh,2001,Causes,Physical Abuse (Rape/Incest Etc.),Male,30-44,11
Madhya Pradesh,2001,Causes,Dowry Dispute,Male,30-44,0
Madhya Pradesh,2001,Causes,Ideological Causes/Hero Worshipping,Male,30-44,0
Madhya Pradesh,2001,Causes,Insanity/Mental Illness,Male,30-44,67
Madhya Pradesh,2001,Causes,Property Dispute,Male,30-44,20
Madhya Pradesh,2001,Causes,Cancer,Male,30-44,0
Madhya Pradesh,2001,Causes,Not having Children(Barrenness/Impotency,Male,30-44,0
Madhya Pradesh,2001,Causes,Family Problems,Male,30-44,257
Madhya Pradesh,2001,Causes,Death of Dear Person,Male,30-44,16
Madhya Pradesh,2001,Causes,Other Causes (Please Specity),Male,30-44,61
Madhya Pradesh,2001,Causes,Bankruptcy or Sudden change in Economic,Male,30-44,22
Madhya Pradesh,2001,Causes,Unemployment,Male,30-44,21
Madhya Pradesh,2001,Causes,Other Prolonged Illness,Male,30-44,113
Madhya Pradesh,2001,Causes,Other Prolonged Illness,Female,45-59,55
Madhya Pradesh,2001,Causes,Not having Children(Barrenness/Impotency,Female,45-59,5
Madhya Pradesh,2001,Causes,Physical Abuse (Rape/Incest Etc.),Female,45-59,4
Madhya Pradesh,2001,Causes,Cancer,Female,45-59,2
Madhya Pradesh,2001,Causes,Bankruptcy or Sudden change in Economic,Female,45-59,3
Madhya Pradesh,2001,Causes,Fall in Social Reputation,Female,45-59,8
Madhya Pradesh,2001,Causes,Professional/Career Problem,Female,45-59,4
Madhya Pradesh,2001,Causes,Causes Not known,Female,45-59,100
Madhya Pradesh,2001,Causes,Divorce,Female,45-59,0
Madhya Pradesh,2001,Causes,Failure in Examination,Female,45-59,0
Madhya Pradesh,2001,Causes,Insanity/Mental Illness,Female,45-59,13
Madhya Pradesh,2001,Causes,Dowry Dispute,Female,45-59,3
Madhya Pradesh,2001,Causes,Drug Abuse/Addiction,Female,45-59,0
Madhya Pradesh,2001,Causes,Ideological Causes/Hero Worshipping,Female,45-59,0
Madhya Pradesh,2001,Causes,Family Problems,Female,45-59,70
Madhya Pradesh,2001,Causes,Love Affairs,Female,45-59,3
Madhya Pradesh,2001,Causes,Cancellation/Non-Settlement of Marriage,Female,45-59,0
Madhya Pradesh,2001,Causes,Other Causes (Please Specity),Female,45-59,26
Madhya Pradesh,2001,Causes,Unemployment,Female,45-59,0
Madhya Pradesh,2001,Causes,Property Dispute,Female,45-59,6
Madhya Pradesh,2001,Causes,Suspected/Illicit Relation,Female,45-59,0
Madhya Pradesh,2001,Causes,Illness (Aids/STD),Female,45-59,0
Madhya Pradesh,2001,Causes,Death of Dear Person,Female,45-59,4
Madhya Pradesh,2001,Causes,Illegitimate Pregnancy,Female,45-59,4
Madhya Pradesh,2001,Causes,Paralysis,Female,45-59,1
Madhya Pradesh,2001,Causes,Poverty,Female,45-59,7
Madhya Pradesh,2001,Causes,Suspected/Illicit Relation,Male,45-59,2
Madhya Pradesh,2001,Causes,Cancer,Male,45-59,2
Madhya Pradesh,2001,Causes,Death of Dear Person,Male,45-59,6
Madhya Pradesh,2001,Causes,Dowry Dispute,Male,45-59,0
Madhya Pradesh,2001,Causes,Ideological Causes/Hero Worshipping,Male,45-59,0
Madhya Pradesh,2001,Causes,Causes Not known,Male,45-59,207
Madhya Pradesh,2001,Causes,Failure in Examination,Male,45-59,0
Madhya Pradesh,2001,Causes,Love Affairs,Male,45-59,0
Madhya Pradesh,2001,Causes,Fall in Social Reputation,Male,45-59,16
Madhya Pradesh,2001,Causes,Poverty,Male,45-59,9
Madhya Pradesh,2001,Causes,Professional/Career Problem,Male,45-59,1
Madhya Pradesh,2001,Causes,Unemployment,Male,45-59,0
Madhya Pradesh,2001,Causes,Property Dispute,Male,45-59,10
Madhya Pradesh,2001,Causes,Paralysis,Male,45-59,3
Madhya Pradesh,2001,Causes,Divorce,Male,45-59,0
Madhya Pradesh,2001,Causes,Bankruptcy or Sudden change in Economic,Male,45-59,12
Madhya Pradesh,2001,Causes,Other Prolonged Illness,Male,45-59,67
Madhya Pradesh,2001,Causes,Physical Abuse (Rape/Incest Etc.),Male,45-59,6
Madhya Pradesh,2001,Causes,Insanity/Mental Illness,Male,45-59,32
Madhya Pradesh,2001,Causes,Cancellation/Non-Settlement of Marriage,Male,45-59,0
Madhya Pradesh,2001,Causes,Illegitimate Pregnancy,Male,45-59,0
Madhya Pradesh,2001,Causes,Drug Abuse/Addiction,Male,45-59,22
Madhya Pradesh,2001,Causes,Family Problems,Male,45-59,121
Madhya Pradesh,2001,Causes,Not having Children(Barrenness/Impotency,Male,45-59,0
Madhya Pradesh,2001,Causes,Illness (Aids/STD),Male,45-59,0
Madhya Pradesh,2001,Causes,Other Causes (Please Specity),Male,45-59,54
Madhya Pradesh,2001,Causes,Divorce,Female,60+,0
Madhya Pradesh,2001,Causes,Professional/Career Problem,Female,60+,0
Madhya Pradesh,2001,Causes,Causes Not known,Female,60+,55
Madhya Pradesh,2001,Causes,Property Dispute,Female,60+,5
Madhya Pradesh,2001,Causes,Other Causes (Please Specity),Female,60+,25
Madhya Pradesh,2001,Causes,Illness (Aids/STD),Female,60+,0
Madhya Pradesh,2001,Causes,Drug Abuse/Addiction,Female,60+,0
Madhya Pradesh,2001,Causes,Failure in Examination,Female,60+,0
Madhya Pradesh,2001,Causes,Poverty,Female,60+,4
Madhya Pradesh,2001,Causes,Family Problems,Female,60+,31
Madhya Pradesh,2001,Causes,Death of Dear Person,Female,60+,1
Madhya Pradesh,2001,Causes,Fall in Social Reputation,Female,60+,3
Madhya Pradesh,2001,Causes,Ideological Causes/Hero Worshipping,Female,60+,0
Madhya Pradesh,2001,Causes,Illegitimate Pregnancy,Female,60+,0
Madhya Pradesh,2001,Causes,Insanity/Mental Illness,Female,60+,6
Madhya Pradesh,2001,Causes,Suspected/Illicit Relation,Female,60+,0
Madhya Pradesh,2001,Causes,Cancer,Female,60+,0
Madhya Pradesh,2001,Causes,Dowry Dispute,Female,60+,0
Madhya Pradesh,2001,Causes,Other Prolonged Illness,Female,60+,29
Madhya Pradesh,2001,Causes,Not having Children(Barrenness/Impotency,Female,60+,0
Madhya Pradesh,2001,Causes,Bankruptcy or Sudden change in Economic,Female,60+,1
Madhya Pradesh,2001,Causes,Love Affairs,Female,60+,0
Madhya Pradesh,2001,Causes,Cancellation/Non-Settlement of Marriage,Female,60+,0
Madhya Pradesh,2001,Causes,Physical Abuse (Rape/Incest Etc.),Female,60+,0
Madhya Pradesh,2001,Causes,Unemployment,Female,60+,0
Madhya Pradesh,2001,Causes,Paralysis,Female,60+,1
Madhya Pradesh,2001,Causes,Bankruptcy or Sudden change in Economic,Male,60+,11
Madhya Pradesh,2001,Causes,Love Affairs,Male,60+,0
Madhya Pradesh,2001,Causes,Dowry Dispute,Male,60+,0
Madhya Pradesh,2001,Causes,Ideological Causes/Hero Worshipping,Male,60+,0
Madhya Pradesh,2001,Causes,Physical Abuse (Rape/Incest Etc.),Male,60+,3
Madhya Pradesh,2001,Causes,Fall in Social Reputation,Male,60+,7
Madhya Pradesh,2001,Causes,Causes Not known,Male,60+,95
Madhya Pradesh,2001,Causes,Drug Abuse/Addiction,Male,60+,5
Madhya Pradesh,2001,Causes,Other Prolonged Illness,Male,60+,44
Madhya Pradesh,2001,Causes,Property Dispute,Male,60+,4
Madhya Pradesh,2001,Causes,Other Causes (Please Specity),Male,60+,38
Madhya Pradesh,2001,Causes,Failure in Examination,Male,60+,0
Madhya Pradesh,2001,Causes,Illness (Aids/STD),Male,60+,0
Madhya Pradesh,2001,Causes,Suspected/Illicit Relation,Male,60+,0
Madhya Pradesh,2001,Causes,Professional/Career Problem,Male,60+,0
Madhya Pradesh,2001,Causes,Cancellation/Non-Settlement of Marriage,Male,60+,0
Madhya Pradesh,2001,Causes,Divorce,Male,60+,0
Madhya Pradesh,2001,Causes,Cancer,Male,60+,1
Madhya Pradesh,2001,Causes,Poverty,Male,60+,5
Madhya Pradesh,2001,Causes,Illegitimate Pregnancy,Male,60+,0
Madhya Pradesh,2001,Causes,Not having Children(Barrenness/Impotency,Male,60+,0
Madhya Pradesh,2001,Causes,Insanity/Mental Illness,Male,60+,23
Madhya Pradesh,2001,Causes,Unemployment,Male,60+,0
Madhya Pradesh,2001,Causes,Death of Dear Person,Male,60+,2
Madhya Pradesh,2001,Causes,Paralysis,Male,60+,0
Madhya Pradesh,2001,Causes,Family Problems,Male,60+,52
Madhya Pradesh,2001,Education_Status,Matriculate/Secondary,Female,0-100+,361
Madhya Pradesh,2001,Education_Status,Primary,Female,0-100+,795
Madhya Pradesh,2001,Education_Status,No Education,Female,0-100+,1259
Madhya Pradesh,2001,Education_Status,Middle,Female,0-100+,668
Madhya Pradesh,2001,Education_Status,Diploma,Female,0-100+,7
Madhya Pradesh,2001,Education_Status,Hr. Secondary/Intermediate/Pre-Universit,Female,0-100+,193
Madhya Pradesh,2001,Education_Status,Graduate,Female,0-100+,24
Madhya Pradesh,2001,Education_Status,Post Graduate and Above,Female,0-100+,17
Madhya Pradesh,2001,Education_Status,Graduate,Male,0-100+,35
Madhya Pradesh,2001,Education_Status,Middle,Male,0-100+,714
Madhya Pradesh,2001,Education_Status,Post Graduate and Above,Male,0-100+,26
Madhya Pradesh,2001,Education_Status,Diploma,Male,0-100+,32
Madhya Pradesh,2001,Education_Status,Primary,Male,0-100+,984
Madhya Pradesh,2001,Education_Status,Matriculate/Secondary,Male,0-100+,449
Madhya Pradesh,2001,Education_Status,Hr. Secondary/Intermediate/Pre-Universit,Male,0-100+,288
Madhya Pradesh,2001,Education_Status,No Education,Male,0-100+,1008
Madhya Pradesh,2001,Means_adopted,By Overdose of sleeping pills,Female,0-14,0
Madhya Pradesh,2001,Means_adopted,By coming under running vehicles/trains,Female,0-14,0
Madhya Pradesh,2001,Means_adopted,By Jumping from (Other sites),Female,0-14,0
Madhya Pradesh,2001,Means_adopted,By Machine,Female,0-14,0
Madhya Pradesh,2001,Means_adopted,By Over Alcoholism,Female,0-14,0
Madhya Pradesh,2001,Means_adopted,By Drowning,Female,0-14,20
Madhya Pradesh,2001,Means_adopted,By touching electric wires,Female,0-14,0
Madhya Pradesh,2001,Means_adopted,By Fire/Self Immolation,Female,0-14,15
Madhya Pradesh,2001,Means_adopted,By Consuming Insecticides,Female,0-14,29
Madhya Pradesh,2001,Means_adopted,By Jumping from (Building),Female,0-14,3
Madhya Pradesh,2001,Means_adopted,By Other means (please specify),Female,0-14,12
Madhya Pradesh,2001,Means_adopted,By Self Infliction of injury,Female,0-14,0
Madhya Pradesh,2001,Means_adopted,By Consuming Other Poison,Female,0-14,21
Madhya Pradesh,2001,Means_adopted,By Jumping off Moving Vehicles/Trains,Female,0-14,0
Madhya Pradesh,2001,Means_adopted,By Fire-Arms,Female,0-14,0
Madhya Pradesh,2001,Means_adopted,By Hanging,Female,0-14,15
Madhya Pradesh,2001,Means_adopted,By Drowning,Male,0-14,25
Madhya Pradesh,2001,Means_adopted,By Jumping off Moving Vehicles/Trains,Male,0-14,1
Madhya Pradesh,2001,Means_adopted,By Over Alcoholism,Male,0-14,0
Madhya Pradesh,2001,Means_adopted,By coming under running vehicles/trains,Male,0-14,1
Madhya Pradesh,2001,Means_adopted,By Consuming Insecticides,Male,0-14,16
Madhya Pradesh,2001,Means_adopted,By Overdose of sleeping pills,Male,0-14,0
Madhya Pradesh,2001,Means_adopted,By touching electric wires,Male,0-14,2
Madhya Pradesh,2001,Means_adopted,By Fire-Arms,Male,0-14,3
Madhya Pradesh,2001,Means_adopted,By Hanging,Male,0-14,33
Madhya Pradesh,2001,Means_adopted,By Other means (please specify),Male,0-14,30
Madhya Pradesh,2001,Means_adopted,By Fire/Self Immolation,Male,0-14,9
Madhya Pradesh,2001,Means_adopted,By Jumping from (Building),Male,0-14,0
Madhya Pradesh,2001,Means_adopted,By Self Infliction of injury,Male,0-14,0
Madhya Pradesh,2001,Means_adopted,By Consuming Other Poison,Male,0-14,10
Madhya Pradesh,2001,Means_adopted,By Jumping from (Other sites),Male,0-14,0
Madhya Pradesh,2001,Means_adopted,By Machine,Male,0-14,0
Madhya Pradesh,2001,Means_adopted,By Jumping from (Building),Female,15-29,1
Madhya Pradesh,2001,Means_adopted,By Jumping from (Other sites),Female,15-29,24
Madhya Pradesh,2001,Means_adopted,By touching electric wires,Female,15-29,4
Madhya Pradesh,2001,Means_adopted,By coming under running vehicles/trains,Female,15-29,23
Madhya Pradesh,2001,Means_adopted,By Consuming Other Poison,Female,15-29,228
Madhya Pradesh,2001,Means_adopted,By Consuming Insecticides,Female,15-29,445
Madhya Pradesh,2001,Means_adopted,By Other means (please specify),Female,15-29,124
Madhya Pradesh,2001,Means_adopted,By Self Infliction of injury,Female,15-29,3
Madhya Pradesh,2001,Means_adopted,By Fire/Self Immolation,Female,15-29,486
Madhya Pradesh,2001,Means_adopted,By Fire-Arms,Female,15-29,5
Madhya Pradesh,2001,Means_adopted,By Overdose of sleeping pills,Female,15-29,2
Madhya Pradesh,2001,Means_adopted,By Jumping off Moving Vehicles/Trains,Female,15-29,6
Madhya Pradesh,2001,Means_adopted,By Machine,Female,15-29,2
Madhya Pradesh,2001,Means_adopted,By Hanging,Female,15-29,478
Madhya Pradesh,2001,Means_adopted,By Drowning,Female,15-29,86
Madhya Pradesh,2001,Means_adopted,By Over Alcoholism,Female,15-29,1
Madhya Pradesh,2001,Means_adopted,By Self Infliction of injury,Male,15-29,0
Madhya Pradesh,2001,Means_adopted,By Over Alcoholism,Male,15-29,12
Madhya Pradesh,2001,Means_adopted,By Machine,Male,15-29,1
Madhya Pradesh,2001,Means_adopted,By Consuming Insecticides,Male,15-29,410
Madhya Pradesh,2001,Means_adopted,By Overdose of sleeping pills,Male,15-29,2
Madhya Pradesh,2001,Means_adopted,By coming under running vehicles/trains,Male,15-29,32
Madhya Pradesh,2001,Means_adopted,By Other means (please specify),Male,15-29,106
Madhya Pradesh,2001,Means_adopted,By Consuming Other Poison,Male,15-29,126
Madhya Pradesh,2001,Means_adopted,By Fire/Self Immolation,Male,15-29,126
Madhya Pradesh,2001,Means_adopted,By Drowning,Male,15-29,62
Madhya Pradesh,2001,Means_adopted,By Fire-Arms,Male,15-29,4
Madhya Pradesh,2001,Means_adopted,By Jumping from (Other sites),Male,15-29,11
Madhya Pradesh,2001,Means_adopted,By Jumping from (Building),Male,15-29,1
Madhya Pradesh,2001,Means_adopted,By Hanging,Male,15-29,503
Madhya Pradesh,2001,Means_adopted,By touching electric wires,Male,15-29,12
Madhya Pradesh,2001,Means_adopted,By Jumping off Moving Vehicles/Trains,Male,15-29,9
Madhya Pradesh,2001,Means_adopted,By Self Infliction of injury,Female,30-44,1
Madhya Pradesh,2001,Means_adopted,By Jumping off Moving Vehicles/Trains,Female,30-44,1
Madhya Pradesh,2001,Means_adopted,By Consuming Insecticides,Female,30-44,232
Madhya Pradesh,2001,Means_adopted,By Fire/Self Immolation,Female,30-44,191
Madhya Pradesh,2001,Means_adopted,By Fire-Arms,Female,30-44,0
Madhya Pradesh,2001,Means_adopted,By touching electric wires,Female,30-44,4
Madhya Pradesh,2001,Means_adopted,By Other means (please specify),Female,30-44,32
Madhya Pradesh,2001,Means_adopted,By coming under running vehicles/trains,Female,30-44,12
Madhya Pradesh,2001,Means_adopted,By Consuming Other Poison,Female,30-44,95
Madhya Pradesh,2001,Means_adopted,By Machine,Female,30-44,0
Madhya Pradesh,2001,Means_adopted,By Drowning,Female,30-44,44
Madhya Pradesh,2001,Means_adopted,By Over Alcoholism,Female,30-44,1
Madhya Pradesh,2001,Means_adopted,By Overdose of sleeping pills,Female,30-44,0
Madhya Pradesh,2001,Means_adopted,By Hanging,Female,30-44,194
Madhya Pradesh,2001,Means_adopted,By Jumping from (Building),Female,30-44,0
Madhya Pradesh,2001,Means_adopted,By Jumping from (Other sites),Female,30-44,5
Madhya Pradesh,2001,Means_adopted,By Fire/Self Immolation,Male,30-44,71
Madhya Pradesh,2001,Means_adopted,By Drowning,Male,30-44,32
Madhya Pradesh,2001,Means_adopted,By Hanging,Male,30-44,409
Madhya Pradesh,2001,Means_adopted,By Consuming Insecticides,Male,30-44,310
Madhya Pradesh,2001,Means_adopted,By coming under running vehicles/trains,Male,30-44,34
Madhya Pradesh,2001,Means_adopted,By Other means (please specify),Male,30-44,98
Madhya Pradesh,2001,Means_adopted,By Overdose of sleeping pills,Male,30-44,4
Madhya Pradesh,2001,Means_adopted,By Jumping off Moving Vehicles/Trains,Male,30-44,10
Madhya Pradesh,2001,Means_adopted,By Jumping from (Other sites),Male,30-44,14
Madhya Pradesh,2001,Means_adopted,By Machine,Male,30-44,6
Madhya Pradesh,2001,Means_adopted,By Self Infliction of injury,Male,30-44,1
Madhya Pradesh,2001,Means_adopted,By Fire-Arms,Male,30-44,5
Madhya Pradesh,2001,Means_adopted,By Consuming Other Poison,Male,30-44,103
Madhya Pradesh,2001,Means_adopted,By Over Alcoholism,Male,30-44,11
Madhya Pradesh,2001,Means_adopted,By Jumping from (Building),Male,30-44,2
Madhya Pradesh,2001,Means_adopted,By touching electric wires,Male,30-44,19
Madhya Pradesh,2001,Means_adopted,By coming under running vehicles/trains,Female,45-59,8
Madhya Pradesh,2001,Means_adopted,By Self Infliction of injury,Female,45-59,0
Madhya Pradesh,2001,Means_adopted,By Consuming Insecticides,Female,45-59,87
